127.0.0.1 - - [15/Sep/2021:14:49:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:49:46 +0900] "GET /webJSP/board/boardView.jsp HTTP/1.1" 500 2586
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:49:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:50:05 +0900] "GET /webJSP/index.jsp HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:50:05 +0900] "GET /webJSP/img/hongkong.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:50:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:50:08 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:50:12 +0900] "GET /webJSP/board/boardView.jsp?no=1 HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:50:28 +0900] "GET /webJSP/board/boardView.jsp?no=61 HTTP/1.1" 200 2834
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:39:05 +0900] "GET /webJSP/team01/main.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:39:05 +0900] "GET /img/heart.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:39:05 +0900] "GET /img/talk.png HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:21 +0900] "GET /webJSP/team01/main.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:21 +0900] "GET /img/talk.png HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:21 +0900] "GET /img/heart.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:21 +0900] "GET /webJSP/team01/main.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:21 +0900] "GET /img/heart.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:21 +0900] "GET /img/talk.png HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:22 +0900] "GET /webJSP/team01/main.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:22 +0900] "GET /img/heart.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:22 +0900] "GET /img/talk.png HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:22 +0900] "GET /webJSP/team01/main.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:22 +0900] "GET /img/heart.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:22 +0900] "GET /img/talk.png HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:22 +0900] "GET /webJSP/team01/main.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:22 +0900] "GET /img/talk.png HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [15/Sep/2021:15:40:22 +0900] "GET /img/heart.png HTTP/1.1" 404 824
