127.0.0.1 - - [30/Sep/2021:14:43:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Sep/2021:14:43:27 +0900] "GET /webJSP/daumLogin/loginForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:14:43:27 +0900] "GET /webJSP/daumLogin/daum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:14:43:27 +0900] "GET /webJSP/daumLogin/uturn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:14:43:27 +0900] "GET /webJSP/daumLogin/adver.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:14:43:48 +0900] "GET /webJSP/team01/MyPage.jsp HTTP/1.1" 200 20219
0:0:0:0:0:0:0:1 - - [30/Sep/2021:14:43:48 +0900] "GET /webJSP/img/circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:14:43:48 +0900] "GET /webJSP/img/star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:14:43:48 +0900] "GET /webJSP/img/halfstar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:14:43:50 +0900] "GET /webJSP/img/arrow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:21:51 +0900] "GET /webJSP/team01/MyPage.jsp HTTP/1.1" 200 21041
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:21:51 +0900] "GET /webJSP/team01/MyPage.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:21:51 +0900] "GET /webJSP/team01/MyPage.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:25:56 +0900] "GET /webJSP/team01/MyPage.jsp HTTP/1.1" 200 21162
